scenario_id,model_id,observed_rule,excess_rule,number_double_high,jaccard_with_primary,profile_contrast_preserved,high_observed_high_excess_iso3
sdi_spline_year_fe_population_weighted_wls__top33_observed__top33_excess_rate,sdi_spline_year_fe_population_weighted_wls,top33_observed,top33_excess_rate,18,0.782608695652174,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;PSE;SYC;THA;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top33_observed__top25_excess_rate,sdi_spline_year_fe_population_weighted_wls,top33_observed,top25_excess_rate,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top33_observed__top20_excess_rate,sdi_spline_year_fe_population_weighted_wls,top33_observed,top20_excess_rate,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top33_observed__top33_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top33_observed,top33_log_excess_ratio,15,0.6521739130434783,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MUS;NIU;NRU;PHL;SYC;THA;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top33_observed__top25_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top33_observed,top25_log_excess_ratio,11,0.4782608695652174,True,EGY;FJI;GUM;KWT;LBY;MUS;NIU;NRU;SYC;THA;ZAF
sdi_spline_year_fe_population_weighted_wls__top33_observed__ratio_gt_1_2,sdi_spline_year_fe_population_weighted_wls,top33_observed,ratio_gt_1_2,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top33_observed__excess_rate_gt_0,sdi_spline_year_fe_population_weighted_wls,top33_observed,excess_rate_gt_0,22,0.9565217391304348,True,BOL;EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NAM;NIU;NRU;PAK;PHL;PSE;SYC;THA;TLS;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__top33_excess_rate,sdi_spline_year_fe_population_weighted_wls,top25_observed,top33_excess_rate,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__top25_excess_rate,sdi_spline_year_fe_population_weighted_wls,top25_observed,top25_excess_rate,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__top20_excess_rate,sdi_spline_year_fe_population_weighted_wls,top25_observed,top20_excess_rate,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__top33_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top25_observed,top33_log_excess_ratio,9,0.391304347826087,True,KEN;KWT;LSO;MUS;NRU;PHL;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__top25_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top25_observed,top25_log_excess_ratio,5,0.217391304347826,True,KWT;MUS;NRU;SYC;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__ratio_gt_1_2,sdi_spline_year_fe_population_weighted_wls,top25_observed,ratio_gt_1_2,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top25_observed__excess_rate_gt_0,sdi_spline_year_fe_population_weighted_wls,top25_observed,excess_rate_gt_0,13,0.5652173913043478,True,IND;KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__top33_excess_rate,sdi_spline_year_fe_population_weighted_wls,top20_observed,top33_excess_rate,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__top25_excess_rate,sdi_spline_year_fe_population_weighted_wls,top20_observed,top25_excess_rate,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__top20_excess_rate,sdi_spline_year_fe_population_weighted_wls,top20_observed,top20_excess_rate,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__top33_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top20_observed,top33_log_excess_ratio,7,0.3043478260869565,True,KEN;KWT;LSO;NRU;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__top25_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top20_observed,top25_log_excess_ratio,4,0.1739130434782608,True,KWT;NRU;SYC;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__ratio_gt_1_2,sdi_spline_year_fe_population_weighted_wls,top20_observed,ratio_gt_1_2,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_spline_year_fe_population_weighted_wls__top20_observed__excess_rate_gt_0,sdi_spline_year_fe_population_weighted_wls,top20_observed,excess_rate_gt_0,10,0.4347826086956521,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top33_observed__top33_excess_rate,sdi_poly2_year_fe,top33_observed,top33_excess_rate,23,1.0,True,BOL;EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NAM;NGA;NIU;NRU;PAK;PHL;PSE;SYC;THA;TLS;TON;ZAF
sdi_poly2_year_fe__top33_observed__top25_excess_rate,sdi_poly2_year_fe,top33_observed,top25_excess_rate,19,0.8260869565217391,True,EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TLS;TON;ZAF
sdi_poly2_year_fe__top33_observed__top20_excess_rate,sdi_poly2_year_fe,top33_observed,top20_excess_rate,18,0.782608695652174,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TLS;TON;ZAF
sdi_poly2_year_fe__top33_observed__top33_log_excess_ratio,sdi_poly2_year_fe,top33_observed,top33_log_excess_ratio,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_poly2_year_fe__top33_observed__top25_log_excess_ratio,sdi_poly2_year_fe,top33_observed,top25_log_excess_ratio,16,0.6956521739130435,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;ZAF
sdi_poly2_year_fe__top33_observed__ratio_gt_1_2,sdi_poly2_year_fe,top33_observed,ratio_gt_1_2,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_poly2_year_fe__top33_observed__excess_rate_gt_0,sdi_poly2_year_fe,top33_observed,excess_rate_gt_0,27,0.8518518518518519,True,BOL;EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NAM;NGA;NIU;NRU;PAK;PHL;PRK;PSE;SWZ;SYC;THA;TLS;TON;TUV;WSM;ZAF
sdi_poly2_year_fe__top25_observed__top33_excess_rate,sdi_poly2_year_fe,top25_observed,top33_excess_rate,14,0.6086956521739131,True,IND;KEN;KWT;LSO;MHL;MUS;NGA;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top25_observed__top25_excess_rate,sdi_poly2_year_fe,top25_observed,top25_excess_rate,13,0.5652173913043478,True,IND;KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top25_observed__top20_excess_rate,sdi_poly2_year_fe,top25_observed,top20_excess_rate,12,0.5217391304347826,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_poly2_year_fe__top25_observed__top33_log_excess_ratio,sdi_poly2_year_fe,top25_observed,top33_log_excess_ratio,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_poly2_year_fe__top25_observed__top25_log_excess_ratio,sdi_poly2_year_fe,top25_observed,top25_log_excess_ratio,10,0.4347826086956521,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;ZAF
sdi_poly2_year_fe__top25_observed__ratio_gt_1_2,sdi_poly2_year_fe,top25_observed,ratio_gt_1_2,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
